date,nwvf_time_integral,EC,days_diff
2019-06-30,-567240.0647621835,9.2,28.0
2019-07-07,-1765604.086802692,17.4,8.0
2019-07-14,0.0,0.0,0.0
2019-07-21,-2889942.644262433,2.5,12.0
2019-07-28,1917225.125094232,9.799999999999999,8.0
2019-08-04,1208638.5898984128,9.2,8.0
2019-08-11,-5491361.152021989,2.4,8.0
2019-08-18,-2232850.086849933,2.0,8.0
2019-08-25,0.0,0.0,0.0
2019-09-01,3693560.7952826936,22.4,10.0
2019-09-08,8738017.225268604,6.0,10.0
2019-09-15,6964974.830834128,1.2,8.0
2019-09-22,0.0,0.0,0.0
2019-09-29,-1552069.2675085247,0.6,11.0
2019-10-06,-3075900.9125266667,0.9,8.0
2019-10-13,12442.472604914234,0.7,8.0
2019-10-20,-1153841.1220034664,1.2,8.0
2019-10-27,0.0,0.0,0.0
2019-11-03,-2450723.827235182,6.8999999999999995,10.0
2019-11-10,0.0,0.0,0.0
2019-11-17,432841.1250814933,2.1,16.0
2019-11-24,2574526.759055784,0.5,8.0
2019-12-01,-212516.9122530537,18.700000000000003,8.0
2019-12-08,0.0,0.0,0.0
2019-12-15,256649.7146896162,41.0,10.0
2019-12-22,578631.3950301162,12.1,8.0
2019-12-29,-811327.7383850247,6.3,9.0
2020-01-05,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0
2020-01-19,1541441.3346974477,1.0,19.0
2020-01-26,740215.2907277459,19.0,7.0
2020-02-02,-80874.54808595852,7.0,8.0
2020-02-09,0.0,0.0,0.0
2020-02-16,2059476.6386227817,19.0,12.0
2020-02-23,-392922.0687641742,9.0,10.0
2020-03-01,52148.49258125307,85.0,8.0
2020-03-08,0.0,0.0,0.0
2020-03-15,471160.2793494839,30.0,10.0
2020-03-22,-476848.9689521,18.0,9.0
2020-03-29,0.0,0.0,0.0
2020-04-05,1889949.6030703387,41.0,12.0
2020-04-12,0.0,0.0,0.0
2020-04-19,0.0,0.0,0.0
2020-04-26,1336045.0903936673,21.0,22.0
2020-05-03,-2597790.4465866787,10.0,8.0
2020-05-10,835605.6104853807,10.0,8.0
2020-05-17,-1177009.2452777221,9.0,8.0
2020-05-24,0.0,0.0,0.0
2020-05-31,69843.01220448373,2.0,10.0
2020-06-07,5338870.289894056,2.0,10.0
2020-06-14,1574587.0135491237,3.0,5.0
2020-06-21,2752360.5776789477,1.0,8.0
2020-06-28,2092453.3611235835,3.0,9.0
2020-07-05,-1565571.9802118053,17.0,4.0
2020-07-12,-1030016.1429258687,1.0,8.0
2020-07-19,1812927.0628404352,11.0,8.0
2020-07-26,3141434.5533549525,59.0,6.0
2020-08-02,4239446.223873294,24.0,7.0
2020-08-09,2166031.1693677953,25.0,8.0
2020-08-16,3878812.008305563,2.0,5.0
2020-08-23,1655170.2944224356,0.0,8.0
2020-08-30,248214.8884703044,1.0,9.0
2020-09-06,0.0,0.0,0.0
2020-09-13,6505968.488529149,3.0,10.0
2020-09-20,784246.7094775422,2.0,9.0
2020-09-27,1485306.6446035376,1.0,8.0
2020-10-04,6049936.414726662,78.0,8.0
2020-10-11,0.0,0.0,0.0
2020-10-18,5281543.7965444885,4.0,10.0
2020-10-25,-2267322.1368158255,2.0,8.0
2020-11-01,421621.1101337899,1.0,8.0
2020-11-08,0.0,0.0,0.0
2020-11-15,0.0,0.0,0.0
2020-11-22,0.0,0.0,0.0
2020-11-29,0.0,0.0,0.0
2020-12-06,2985922.2456612433,14.0,33.0
2020-12-13,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0
2021-01-03,1936225.9078037706,16.0,28.0
2021-01-10,0.0,0.0,0.0
2021-01-17,6011952.045587085,5.0,14.0
2021-01-24,-398452.73356298474,1.0,10.0
2021-01-31,-1197104.9243983754,5.0,5.0
2021-02-07,0.0,0.0,0.0
2021-02-14,-1535915.870320798,10.0,13.0
2021-02-21,-524082.0078670976,14.0,7.0
2021-02-28,2966902.053232173,8.0,7.0
2021-03-07,1979553.9348168834,36.0,7.0
2021-03-14,-1773791.9256481174,37.0,7.0
2021-03-21,0.0,0.0,0.0
2021-03-28,1227603.73912824,12.0,14.0
2021-04-04,2233986.5806835396,8.0,7.0
2021-04-11,-607365.5949484135,19.0,7.0
2021-04-18,-911999.1108111376,10.0,7.0
2021-04-25,2438900.2696439023,7.0,7.0
2021-05-02,710084.4804458903,12.0,7.0
2021-05-09,0.0,0.0,0.0
2021-05-16,0.0,0.0,0.0
2021-05-23,0.0,0.0,0.0
2021-05-30,210629.3452049655,8.0,29.0
2021-06-06,450152.17435283866,3.0,6.0
2021-06-13,3033319.101795749,2.0,7.0
2021-06-20,5297756.244361729,1.0,7.0
2021-06-27,31924.552453737895,3.0,7.0
2021-07-04,0.0,0.0,0.0
2021-07-11,6068225.359770078,1.0,14.0
2021-07-18,5664263.798068951,4.0,7.0
2021-07-25,3423209.1408584025,2.0,7.0
2021-08-01,-1458913.8227112705,4.0,7.0
2021-08-08,-3614517.847907468,2.0,7.0
2021-08-15,3136996.4817696186,22.0,7.0
2021-08-22,1551988.571643145,7.0,7.0
