date,nwvf_time_integral,EC,days_diff
2011-12-18,683205.2391306774,23.1,7.0
2011-12-25,2675145.8783209072,88.5,7.0
2012-01-08,2121486.883491467,21.7,14.0
2012-01-15,1790617.591630452,37.7,7.0
2012-01-22,2269685.678289929,17.3,7.0
2012-02-05,8712548.27581635,12.0,14.0
2012-02-12,3986325.5157199423,27.4,7.0
2012-02-19,634356.2542118636,74.7,7.0
2012-03-04,2836493.838159006,28.2,14.0
2012-03-11,4470950.639357614,69.9,7.0
2012-03-18,476930.3753259201,58.2,7.0
2012-04-01,-673032.3930755756,49.7,14.0
2012-04-08,-1899622.1280210023,45.6,7.0
2012-04-15,-683431.3190820415,43.4,7.0
2012-04-29,263396.66100890195,37.8,14.0
2012-05-13,-1403397.0053970278,35.8,14.0
2012-05-20,1157323.9971961481,15.6,7.0
2012-06-03,-948471.9595160786,12.1,14.0
2012-06-10,-2387130.4844517815,8.7,7.0
2012-06-17,-1216393.393892501,7.5,7.0
2012-06-24,-807684.504109786,4.5,7.0
2012-07-01,-415574.3765633012,6.3,7.0
2012-07-08,1427212.7475287553,13.4,7.0
2012-07-15,-2080831.8830546564,63.6,7.0
2012-07-22,-2204376.9799023564,6.7,7.0
2012-07-29,815512.8535703318,9.0,7.0
2012-08-05,-687248.1715846696,3.9,7.0
2012-08-12,2541562.7275254447,34.5,7.0
2012-08-19,-955223.8718420253,12.4,7.0
2012-08-26,-2333775.4672053256,19.4,7.0
2012-09-02,5158639.73749162,16.9,7.0
2012-09-09,1935359.3803082507,15.8,7.0
2012-09-16,3266527.0574135496,19.2,7.0
2012-09-23,195616.8871762392,7.9,7.0
2012-09-30,-292607.79160578403,8.5,7.0
2012-10-07,1602679.7167178332,12.3,7.0
2012-10-14,501806.50628059363,4.4,7.0
2012-10-21,-670043.8714135811,3.7,7.0
2012-10-28,-2004672.047633816,12.8,7.0
2012-11-04,-305103.72023981996,24.6,7.0
2012-11-11,258627.1810983498,23.1,7.0
2012-11-18,1051188.2080570466,13.6,7.0
2012-11-25,726291.0077467663,18.6,7.0
2012-12-02,503070.87899765506,38.0,7.0
2012-12-09,576888.0373762161,8.8,7.0
2012-12-16,1907110.3548255013,17.0,7.0
2012-12-23,1202184.540952594,31.7,7.0
2012-12-30,-106139.92960815551,71.1,7.0
2013-01-06,2211325.7791713933,18.2,7.0
2013-01-13,1112208.2147564315,33.6,7.0
2013-01-20,619026.3467635174,120.8,7.0
2013-01-27,-1371674.2710357173,19.3,7.0
2013-02-03,-125211.21183504982,43.9,7.0
2013-02-10,920705.8938669361,20.9,7.0
2013-02-17,1624156.9344763998,17.8,7.0
2013-02-24,267418.5547444531,40.2,7.0
2013-03-03,-244982.18777277117,56.0,7.0
2013-03-10,-1275376.1515498494,25.3,7.0
2013-03-17,-1229208.05905282,17.1,7.0
2013-03-24,-1516478.95394388,21.5,7.0
2013-03-31,-601726.2877157348,41.7,7.0
2013-04-07,-1130985.341550965,73.3,7.0
2013-04-14,-124092.44280510911,60.5,7.0
2013-04-21,773197.5264951847,35.6,7.0
2013-04-28,1938007.2762068324,30.9,7.0
2013-05-05,-406954.4957192988,16.9,7.0
2013-05-12,351592.39553935704,32.5,7.0
2013-05-19,1399117.0733541886,14.4,7.0
2013-05-26,2668620.585072925,17.5,7.0
2013-06-02,3288944.248209766,28.6,7.0
2013-06-09,3552530.5937673277,10.8,7.0
2013-06-16,-1590121.7159053083,27.2,7.0
2013-06-23,3949743.3219155907,12.3,7.0
2013-06-30,6814947.677346479,18.3,7.0
2013-07-07,8341294.5582621405,11.4,7.0
2013-07-14,886977.5574274246,10.4,7.0
2013-08-11,3120492.424557008,0.1,28.0
2013-09-08,4247607.917402413,22.7,28.0
2013-10-06,4071943.7533638887,5.5,28.0
2013-11-03,-457930.1178000526,28.6,28.0
2013-12-08,-867641.4821249398,32.7,35.0
2013-12-29,231556.17977135148,34.6,21.0
2014-01-26,2835057.360312865,12.3,28.0
2014-02-23,36350.73246322364,49.1,28.0
2014-03-23,-695375.4591928122,57.5,28.0
2014-04-06,47644.43404954416,3.0,14.0
2014-04-20,2347745.218078835,43.0,14.0
2014-05-18,799406.1256908777,23.0,28.0
2014-06-15,-418395.70391211525,13.5,28.0
2014-07-13,3343202.530246691,12.7,28.0
2014-07-27,7773767.288908342,48.9,14.0
2014-08-10,2456592.8930287445,80.5,14.0
2014-09-07,2109545.565952452,10.2,28.0
2014-10-05,5546721.25545826,16.7,28.0
2014-11-02,-789576.2838305495,23.0,28.0
2014-11-30,3710582.730071584,59.4,28.0
2014-12-28,-1216358.6887794998,28.2,28.0
2015-01-04,1295710.5731255151,24.8,7.0
2015-01-11,2965276.598150558,18.3,7.0
