date,nwvf_time_integral
1993-01-01,0.0
1993-01-02,0.0
1993-01-03,0.0
1993-01-04,0.0
1993-01-05,0.0
1993-01-06,0.0
1993-01-07,0.0
1993-01-08,0.0
1993-01-09,0.0
1993-01-10,0.0
1993-01-11,0.0
1993-01-12,0.0
1993-01-13,0.0
1993-01-14,0.0
1993-01-15,0.0
1993-01-16,0.0
1993-01-17,0.0
1993-01-18,0.0
1993-01-19,0.0
1993-01-20,0.0
1993-01-21,0.0
1993-01-22,0.0
1993-01-23,0.0
1993-01-24,0.0
1993-01-25,0.0
1993-01-26,0.0
1993-01-27,0.0
1993-01-28,0.0
1993-01-29,0.0
1993-01-30,0.0
1993-01-31,0.0
1993-02-01,0.0
1993-02-02,0.0
1993-02-03,0.0
1993-02-04,0.0
1993-02-05,0.0
1993-02-06,0.0
1993-02-07,0.0
1993-02-08,0.0
1993-02-09,0.0
1993-02-10,0.0
1993-02-11,0.0
1993-02-12,0.0
1993-02-13,0.0
1993-02-14,0.0
1993-02-15,0.0
1993-02-16,0.0
1993-02-17,0.0
1993-02-18,0.0
1993-02-19,0.0
1993-02-20,0.0
1993-02-21,0.0
1993-02-22,0.0
1993-02-23,0.0
1993-02-24,0.0
1993-02-25,0.0
1993-02-26,0.0
1993-02-27,0.0
1993-02-28,0.0
1993-03-01,0.0
1993-03-02,0.0
1993-03-03,0.0
1993-03-04,0.0
1993-03-05,0.0
1993-03-06,0.0
1993-03-07,0.0
1993-03-08,0.0
1994-01-01,0.0
1994-01-02,-208205.33905593294
1994-01-03,-182006.5144346525
1994-01-04,-127954.66908549354
1994-01-05,-80707.50191640182
1994-01-06,-65405.25317314892
1994-01-07,-80060.62668182705
1994-01-08,-36670.914987469
1994-01-09,54940.772160639535
1994-01-10,-208976.95122198263
1994-01-11,-297505.37217951077
1994-01-12,-188588.3671754425
1994-01-13,-81470.82384905696
1994-01-14,-64808.287816004246
1994-01-15,-48179.8561880808
1994-01-16,-120314.90587744553
1994-01-17,-44201.037389813464
1994-01-18,10733.982731524062
1994-01-19,293020.09448312514
1994-01-20,390392.00078510924
1994-01-21,409118.89788627124
1994-01-22,454108.6083590299
1994-01-23,-22314.440702376793
1994-01-24,-293287.46409586375
1994-01-25,-257758.81662189146
1994-01-26,-186946.656962055
1994-01-27,-76717.59907027638
1994-01-28,-99676.17986925866
1994-01-29,-92988.70711500928
1994-01-30,-28210.640888794947
1994-01-31,8424.13780207333
1994-02-01,268630.73094367515
1994-02-02,805092.5135482443
1994-02-03,409592.51595723047
1994-02-04,-7128.091397228265
1994-02-05,-123064.67230340891
1994-02-06,-206269.23550895308
1994-02-07,-31223.09878423073
1994-02-08,98489.44951605496
1994-02-09,253742.9322888794
1994-02-10,284964.01864364423
1994-02-11,416881.60984510835
1994-02-12,729614.5849719084
1994-02-13,1344299.6484797345
1994-02-15,1015247.0973620459
1994-02-16,-226462.15494254132
1994-02-17,-24565.726490572753
1994-02-18,34553.20478602934
1994-02-19,68605.97924800731
1994-02-20,201082.4541808968
1994-02-21,240646.31553556892
1994-02-22,-35667.59108851883
1994-02-23,-229243.75772379708
1994-02-24,-315238.2127820808
1994-02-25,-156635.33745046874
1994-02-26,-212981.67540198067
1994-02-27,-188753.623421447
1994-02-28,-87875.07968947887
1994-03-01,-57562.79230621527
1994-03-02,88633.40308197093
1994-03-03,328308.3612078891
1994-03-04,500491.468444097
1994-03-05,565902.9831544237
1994-03-06,732232.2491139808
1994-03-07,662016.0288440727
1994-03-08,379491.7718595985
1995-01-01,-964592.6256772147
1995-01-02,-121143.0647552841
1995-01-03,32163.435499954627
1995-01-04,265474.0807922351
1995-01-05,495293.5629822608
1995-01-06,378492.04523641424
1995-01-07,409507.06903868297
1995-01-08,424509.38213393674
1995-01-09,204422.06926049513
1995-01-10,-48865.53808069973
1995-01-11,-260717.09258444747
1995-01-12,-249216.15811100064
1995-01-13,344402.30806879536
1995-01-14,685468.3334181011
1995-01-15,499098.48149929737
1995-01-16,45069.9804978388
1995-01-17,333158.8797475004
1995-01-18,429221.5345286578
1995-01-19,484680.65600135305
1995-01-20,713715.8158833385
1995-01-21,420806.74429878616
1995-01-22,352310.9420783061
1995-01-23,110396.60077819249
1995-01-24,-40769.371671766
1995-01-26,-416730.2965284289
1995-01-27,-166718.07616289615
1995-01-28,-69606.78528630351
1995-01-29,-110058.59860931421
1995-01-30,-122218.19009261558
1995-01-31,161871.40238604625
1995-02-01,454844.02816628397
1995-02-02,259383.3793560306
1995-02-03,-27270.385216347764
1995-02-04,20418.36730548941
1995-02-05,-103528.8645383416
1995-02-06,-41116.70107940738
1995-02-07,-279383.4727246954
1995-02-08,-373501.7778780879
1995-02-09,-371701.1879850406
1995-02-10,-449880.280259534
1995-02-11,-325859.2113096402
1995-02-12,-172067.18107415558
1995-02-13,-50075.592630842824
1995-02-14,54889.29951321425
1995-02-15,60569.228599048765
1995-02-16,95663.96659334686
1995-02-17,81137.8887730776
1995-02-18,23621.320763307478
1995-02-19,63586.78728279599
1995-02-20,68379.67620977422
1995-02-21,18343.275991353563
1995-02-22,43660.05463677535
1995-02-23,26976.895849339988
1995-02-24,-55383.506643143504
1995-02-25,-6059.113729818396
1995-02-26,-35718.34567508386
1995-02-27,-43275.35178803334
1995-02-28,89389.58623481162
1995-03-01,5825.871760424506
1995-03-02,27221.68024039353
1995-03-03,-24469.780546243423
1995-03-04,-92143.6587021149
1995-03-05,-60578.214526521115
1995-03-06,-21058.921745436775
1995-03-07,-81031.65991837099
1995-03-08,31216.833761320646
1996-01-01,-765530.5815464174
1996-01-02,-204891.64388195
1996-01-03,-162217.3218149596
1996-01-04,20771.12574123676
1996-01-05,-143133.2510170972
1996-01-06,124115.00014093563
1996-01-07,544361.7615407014
1996-01-08,378355.20932801743
1996-01-09,446909.82282439095
1996-01-10,628476.925841362
1996-01-11,976441.5593998659
1996-01-12,861981.3569368677
1996-01-13,615788.4046864688
1996-01-14,651453.590619679
1996-01-15,748997.0600193657
1996-01-16,1139487.7209723794
1996-01-17,923739.7776875792
1996-01-18,995994.101003945
1996-01-19,1326131.7141199308
1996-01-20,516377.7260774191
1996-01-21,585591.9144931611
1996-01-22,671754.5979652171
1996-01-23,426408.0930682882
1996-01-24,271165.7332673328
1996-01-25,418423.53516095894
1996-01-26,248938.5102355278
1996-01-27,143332.3444287523
1996-01-28,140456.63616983814
1996-01-29,-6152.020115554842
1996-01-31,-191629.12602215365
1996-02-01,-327461.8952638467
1996-02-02,-292315.632626616
1996-02-03,-144550.16867626185
1996-02-04,-13327.53025350711
1996-02-05,148857.52065152948
1996-02-06,190843.0039143196
1996-02-07,-27670.18477181655
1996-02-08,-40132.03921040351
1996-02-09,94406.10580523562
1996-02-10,100072.61685493855
1996-02-11,124187.24310541226
1996-02-12,104252.22487364014
1996-02-13,34123.21355997314
