date,nwvf_time_integral
2008-08-10,0.0
2008-08-24,4799081.899801038
2008-09-07,-1340493.0533254468
2008-09-21,14200870.236409266
2008-10-05,1725457.6637178233
2008-10-19,2674160.1074080663
2008-11-02,1758262.4071568646
2008-11-16,1475653.2865330528
2008-11-30,-1009487.445801585
2008-12-14,4000559.783134276
2008-12-28,6850289.825359711
2009-01-11,-1769852.0343466147
2009-01-25,3961357.216192876
2009-02-08,2897736.5407446167
2009-02-22,2828358.39626103
2009-03-01,-288550.7140499916
2009-03-08,2065321.7405875225
2009-05-17,1797417.5675576043
2009-05-24,-362154.7210584055
2009-05-31,890099.7087050265
2009-06-14,-3561507.1963247387
2009-06-21,2236986.2452151254
2009-06-28,1500640.1301561217
2009-07-05,-38870.572432195564
2009-07-12,-449187.4386727065
2009-07-19,-3371994.623531368
2009-07-26,-1122106.4373898134
2009-08-02,4284806.988228896
2009-08-16,2221660.8750283634
2009-08-30,3876510.725496629
2009-09-13,5486819.182374968
2009-09-27,4373333.560586378
2009-10-11,-5028266.451199277
2009-10-25,3807644.148251892
2009-11-15,2307408.772619748
2009-11-29,2941964.7778847665
2009-12-13,3370444.5264970227
2009-12-27,-2208608.689162214
2010-01-10,-1177474.7805163604
2010-01-24,7078974.282226114
2010-02-07,3084800.0940642226
2010-02-21,-1416291.5144516495
2010-02-28,-851206.3529453583
2010-03-07,711114.8849993224
2010-03-14,-505621.2929058601
2010-03-21,-957640.3081423453
2010-03-28,-1512422.3771716326
2010-04-04,446515.04737112223
2010-04-11,3652380.6625891873
2010-04-18,793113.9396306386
2010-04-25,-1330241.6923114932
2010-05-02,-515955.1402897008
2010-05-09,244896.59096773338
2010-05-16,2319229.389995806
2010-05-23,3492792.1197547936
2010-05-30,-1770299.992199017
2010-06-06,-705290.7927052529
2010-06-13,-2081355.4028696702
2010-06-20,-482186.06609643355
2010-06-27,578688.3240105506
2010-07-04,-1209885.2004854246
2010-07-11,3478594.3369198157
2010-07-18,2327409.8669745475
2010-07-25,1571355.499162494
2010-08-01,5386897.678988055
2010-08-08,3507468.433219497
2010-08-15,2658892.2756239423
2010-08-22,-4631579.134166296
2010-08-29,-3019306.5066242456
2010-09-05,700326.2302990482
2010-09-12,1569656.770501542
2010-09-19,-233629.68507727658
2010-09-26,-267447.0924350493
2010-10-03,3002923.611143648
2010-10-10,7058924.950564448
2010-10-17,-3625905.2660218137
2010-10-24,-1136079.562452219
2010-10-31,-1164321.3196021018
2010-11-07,-872820.9840819775
2010-11-14,-677553.5912436353
2010-11-21,151388.9251184658
2010-11-28,-2094025.431052635
2010-12-05,-701003.6440345774
2010-12-12,-605940.369336715
2011-01-02,1247873.3249206329
2011-01-09,-1258200.3820978922
2011-01-16,-717027.3127221313
2011-01-23,2630991.614230381
2011-01-30,-292789.7619383171
2011-02-06,903381.4544453177
2011-02-13,498948.6461331264
2011-02-20,1083590.9472149191
2011-02-27,5583681.665163485
2011-03-06,1298290.8074738143
2011-03-13,1233908.1647566042
