time,nwvf
1994-01-01 02:00:00,-55414.527337070365
1994-01-01 08:00:00,-50007.134009767215
1994-01-01 14:00:00,-52008.53926624129
1994-01-01 20:00:00,-50775.13844285405
1994-01-02 02:00:00,-47923.748976504474
1994-01-02 08:00:00,-46650.02984915205
1994-01-02 14:00:00,-46588.33703453146
1994-01-02 20:00:00,-40844.398574464525
1994-01-03 02:00:00,-41854.27100255439
1994-01-03 08:00:00,-32279.284975895578
1994-01-03 14:00:00,-30155.579314846116
1994-01-03 20:00:00,-23665.533792197468
1994-01-04 02:00:00,-18076.64419195832
1994-01-04 08:00:00,-18554.30222668941
1994-01-04 14:00:00,-22126.5271962189
1994-01-04 20:00:00,-21950.028301535185
1994-01-05 02:00:00,-20034.255869332945
1994-01-05 08:00:00,-17200.020853696387
1994-01-05 14:00:00,-11804.118823978699
1994-01-05 20:00:00,-16366.85762614089
1994-01-06 02:00:00,-17564.964247763128
1994-01-06 08:00:00,-12937.653416074705
1994-01-06 14:00:00,-26417.254552087903
1994-01-06 20:00:00,-23140.75446590132
1994-01-07 02:00:00,-22260.806900906126
1994-01-07 08:00:00,-14452.118132619487
1994-01-07 14:00:00,-4614.737795169489
1994-01-07 20:00:00,4656.747841226106
1994-01-08 02:00:00,4038.506735842054
1994-01-08 08:00:00,15246.242319975398
1994-01-08 14:00:00,26736.12702193208
1994-01-08 20:00:00,8919.896082889998
1994-01-09 02:00:00,-15737.522596657143
1994-01-09 08:00:00,-34045.52646255046
1994-01-09 14:00:00,-64687.76978256093
1994-01-09 20:00:00,-94506.1323802141
1994-01-10 02:00:00,-94043.97074951712
1994-01-10 08:00:00,-80448.47133731031
1994-01-10 14:00:00,-68204.91553361304
1994-01-10 20:00:00,-54808.0145590703
1994-01-11 02:00:00,-55372.68460616565
1994-01-11 08:00:00,-44435.11186827914
1994-01-11 14:00:00,-46033.50140025344
1994-01-11 20:00:00,-42747.06930074425
1994-01-12 02:00:00,-38140.14186981839
1994-01-12 08:00:00,-21741.309621002645
1994-01-12 14:00:00,-17653.241580963637
1994-01-12 20:00:00,-3936.130777272284
1994-01-13 02:00:00,-6528.509417013573
1994-01-13 08:00:00,-4460.619625874159
1994-01-13 14:00:00,-25032.182543501884
1994-01-13 20:00:00,-28786.97622961463
1994-01-14 02:00:00,-12311.54385090817
1994-01-14 08:00:00,4638.415212985114
1994-01-14 14:00:00,-17092.096771165994
1994-01-14 20:00:00,-23414.63077899175
1994-01-15 02:00:00,-29651.279827907027
1994-01-15 08:00:00,-30062.11753575821
1994-01-15 14:00:00,-29239.317390423617
1994-01-15 20:00:00,-31362.191123356683
1994-01-16 02:00:00,-28038.17585785161
1994-01-16 08:00:00,-11828.020490574305
1994-01-16 14:00:00,-6150.318497221793
1994-01-16 20:00:00,1815.4774558342463
1994-01-17 02:00:00,-259.2519230945317
1994-01-17 08:00:00,8123.15236768713
1994-01-17 14:00:00,733.1180620045787
1994-01-17 20:00:00,2136.964224926886
1994-01-18 02:00:00,17820.33713172833
1994-01-18 08:00:00,49094.067339981724
1994-01-18 14:00:00,86188.85899804246
1994-01-18 20:00:00,139916.8310133726
1994-01-19 02:00:00,112920.7171597795
1994-01-19 08:00:00,89334.0678140605
1994-01-19 14:00:00,90143.63147182243
1994-01-19 20:00:00,97993.5843394468
1994-01-20 02:00:00,95859.7398449564
1994-01-20 08:00:00,99042.45514085905
1994-01-20 14:00:00,99166.7052317184
1994-01-20 20:00:00,115049.99766873744
1994-01-21 02:00:00,116927.30155893165
1994-01-21 08:00:00,146236.17557611523
1994-01-21 14:00:00,119455.24759843996
1994-01-21 20:00:00,71489.88362554308
1994-01-22 02:00:00,45155.287406137664
1994-01-22 08:00:00,12009.68175484065
1994-01-22 14:00:00,-21049.700821509756
1994-01-22 20:00:00,-58429.70904184535
1994-01-23 02:00:00,-66988.46931228515
1994-01-23 08:00:00,-77149.37905797391
1994-01-23 14:00:00,-76875.26106744185
1994-01-23 20:00:00,-72274.35465816289
1994-01-24 02:00:00,-70064.37247427108
1994-01-24 08:00:00,-65983.05397393621
1994-01-24 14:00:00,-63660.79402783223
1994-01-24 20:00:00,-58050.596145851945
1994-01-25 02:00:00,-53842.285445223795
1994-01-25 08:00:00,-44353.13673913359
1994-01-25 14:00:00,-46827.45827245744
1994-01-25 20:00:00,-41923.776505240174
1994-01-26 02:00:00,-34807.086938467524
1994-01-26 08:00:00,-20807.544672634
1994-01-26 14:00:00,-15086.679436778606
1994-01-26 20:00:00,-6016.2880223962575
1994-01-27 02:00:00,-10857.547295024922
1994-01-27 08:00:00,-20019.248629735994
1994-01-27 14:00:00,-32923.529644471
1994-01-27 20:00:00,-35875.854300026745
1994-01-28 02:00:00,-28615.064558678878
1994-01-28 08:00:00,-26110.43109700219
1994-01-28 14:00:00,-21643.348923385834
1994-01-28 20:00:00,-16619.862535942375
1994-01-29 02:00:00,-12631.367925678787
1994-01-29 08:00:00,-7598.300421967412
1994-01-29 14:00:00,-6473.365131532682
1994-01-29 20:00:00,-1507.6074096160678
1994-01-30 02:00:00,-4553.932680382595
1994-01-30 08:00:00,1042.189814443967
1994-01-30 14:00:00,-202.6964969748601
1994-01-30 20:00:00,12138.577164986818
1994-01-31 02:00:00,16587.03739457869
1994-01-31 08:00:00,49632.97085368423
1994-01-31 14:00:00,85686.81129418938
1994-01-31 20:00:00,116723.91140122287
1994-02-01 02:00:00,145924.18858953612
1994-02-01 08:00:00,204291.24275463744
1994-02-01 14:00:00,226844.93482894727
1994-02-01 20:00:00,228032.14737512346
1994-02-02 02:00:00,161585.6118398475
1994-02-02 08:00:00,113870.11910338627
1994-02-02 14:00:00,77795.66171805236
1994-02-02 20:00:00,56341.12329594434
1994-02-03 02:00:00,37899.228965474125
1994-02-03 08:00:00,17533.508999205635
1994-02-03 14:00:00,-26147.138182272152
1994-02-03 20:00:00,-36413.691179635876
1994-02-04 02:00:00,-25074.02062676349
1994-02-04 08:00:00,-21666.03406939782
1994-02-04 14:00:00,-36364.907193748804
1994-02-04 20:00:00,-39959.71041349879
1994-02-05 02:00:00,-63467.758818968905
1994-02-05 08:00:00,-59574.739579169924
1994-02-05 14:00:00,-52252.80079744515
1994-02-05 20:00:00,-30973.9363133691
1994-02-06 02:00:00,-15130.232500347203
